Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
102; 4.986850; 0.000187; 0.013497; 1.337775; 2.314494; 0.000874; 1.319960; 20.052739; 0.000063
103; 4.992824; 0.000231; 0.012315; 1.138838; 2.117211; 0.000818; 1.723347; 20.028747; 0.000063
104; 4.838117; 0.000199; 0.014550; 2.130342; 2.239591; 0.000949; 0.452441; 20.669197; 0.000046
105; 4.883332; 0.000200; 0.013652; 2.126184; 2.239562; 0.000847; 0.502847; 20.477821; 0.000041
106; 4.902360; 0.000199; 0.014654; 2.145811; 2.256652; 0.000870; 0.484124; 20.398340; 0.000050
107; 4.934621; 0.000195; 0.013447; 2.161870; 2.300833; 0.000843; 0.457384; 20.264981; 0.000049
108; 5.026187; 0.000198; 0.015096; 2.081092; 2.448396; 0.000917; 0.480427; 19.895799; 0.000063
109; 4.990792; 0.000183; 0.014437; 2.209552; 2.293831; 0.000845; 0.471893; 20.036898; 0.000052
110; 5.153180; 0.000221; 0.014627; 1.988435; 2.362847; 0.000858; 0.786146; 19.405493; 0.000047
111; 5.045733; 0.000217; 0.015039; 2.286988; 2.282324; 0.000900; 0.460216; 19.818726; 0.000050
112; 5.061492; 0.000197; 0.014646; 2.241245; 2.387250; 0.000909; 0.417198; 19.757019; 0.000047
113; 5.168303; 0.000191; 0.013617; 2.381444; 2.297842; 0.000948; 0.474213; 19.348712; 0.000047
114; 5.136102; 0.000213; 0.012442; 2.491902; 2.184427; 0.000846; 0.446223; 19.470019; 0.000049
115; 5.155882; 0.000237; 0.013330; 2.424110; 2.269045; 0.000850; 0.448266; 19.395323; 0.000044
116; 5.206091; 0.000205; 0.013334; 2.534752; 2.193510; 0.000872; 0.463370; 19.208269; 0.000048
117; 5.249779; 0.000230; 0.012706; 2.555194; 2.223597; 0.000904; 0.457097; 19.048422; 0.000050
118; 5.265534; 0.000217; 0.012321; 2.594283; 2.189142; 0.000865; 0.468655; 18.991426; 0.000050
119; 5.323189; 0.000208; 0.013680; 2.533452; 2.319967; 0.000978; 0.454855; 18.785733; 0.000049
120; 5.338434; 0.000203; 0.014472; 2.495818; 2.363908; 0.000892; 0.463097; 18.732086; 0.000044
121; 5.349618; 0.000188; 0.012203; 2.680600; 2.189453; 0.000936; 0.466197; 18.692925; 0.000040
122; 5.364621; 0.000217; 0.012807; 2.656933; 2.240822; 0.000893; 0.452899; 18.640645; 0.000050
123; 5.392214; 0.000222; 0.013080; 2.772170; 2.167610; 0.000880; 0.438203; 18.545259; 0.000049
124; 5.465625; 0.000218; 0.014537; 2.748510; 2.248532; 0.000883; 0.452890; 18.296169; 0.000055
125; 5.526253; 0.000193; 0.012766; 2.736222; 2.341216; 0.000962; 0.434847; 18.095442; 0.000048
126; 5.507450; 0.000210; 0.013161; 2.842084; 2.205168; 0.000918; 0.445856; 18.157222; 0.000053
127; 5.523655; 0.000222; 0.012799; 2.852016; 2.209014; 0.000834; 0.448730; 18.103954; 0.000041
128; 5.550916; 0.000201; 0.012346; 2.911691; 2.160199; 0.000843; 0.465586; 18.015045; 0.000050
