Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
116; 5.311791; 0.000207; 0.014957; 2.538475; 2.286322; 0.001075; 0.470706; 18.826042; 0.000050
117; 5.266037; 0.000224; 0.012855; 2.631625; 2.188719; 0.000999; 0.431580; 18.989612; 0.000035
118; 5.338277; 0.000180; 0.013243; 2.647096; 2.188046; 0.000938; 0.488720; 18.732637; 0.000053
119; 5.347561; 0.000199; 0.014400; 2.665180; 2.193030; 0.000948; 0.473752; 18.700115; 0.000052
120; 5.345408; 0.000217; 0.013300; 2.733532; 2.180970; 0.000876; 0.416462; 18.707646; 0.000051
121; 5.532209; 0.000287; 0.013542; 2.667427; 2.330617; 0.001021; 0.519262; 18.075963; 0.000054
122; 5.493144; 0.000209; 0.014005; 2.696856; 2.314094; 0.000899; 0.467030; 18.204513; 0.000051
123; 5.485292; 0.000202; 0.013594; 2.876528; 2.163623; 0.000894; 0.430400; 18.230569; 0.000051
124; 5.514401; 0.000176; 0.013376; 2.885991; 2.148513; 0.000946; 0.465352; 18.134335; 0.000048
125; 5.500042; 0.000234; 0.013071; 2.866151; 2.184623; 0.000912; 0.435002; 18.181678; 0.000050
126; 5.624592; 0.000194; 0.014283; 2.884426; 2.265273; 0.000911; 0.459446; 17.779066; 0.000060
127; 5.625693; 0.000222; 0.014141; 2.869694; 2.287322; 0.000897; 0.453369; 17.775589; 0.000047
128; 5.621278; 0.000193; 0.012955; 2.999149; 2.193008; 0.001020; 0.414904; 17.789549; 0.000048
129; 5.700550; 0.000173; 0.013580; 3.006195; 2.200676; 0.001028; 0.478843; 17.542167; 0.000054
130; 5.680740; 0.000186; 0.012839; 3.079814; 2.182226; 0.000941; 0.404682; 17.603339; 0.000053
131; 5.793846; 0.000288; 0.013411; 2.941141; 2.361124; 0.000962; 0.476865; 17.259694; 0.000055
132; 5.740981; 0.000230; 0.013025; 3.103418; 2.174331; 0.000910; 0.449023; 17.418626; 0.000045
133; 5.766241; 0.000220; 0.013307; 3.156177; 2.183010; 0.000978; 0.412476; 17.342320; 0.000073
134; 5.826923; 0.000206; 0.013090; 3.178635; 2.165710; 0.000917; 0.468311; 17.161718; 0.000053
135; 5.830287; 0.000181; 0.012478; 3.185474; 2.192733; 0.000880; 0.438490; 17.151814; 0.000050
136; 5.934610; 0.000201; 0.014166; 3.193281; 2.300262; 0.001025; 0.425626; 16.850307; 0.000049
137; 5.908739; 0.000221; 0.012993; 3.297542; 2.189668; 0.000964; 0.407295; 16.924086; 0.000055
138; 5.965294; 0.000200; 0.013292; 3.267485; 2.218237; 0.000987; 0.465036; 16.763633; 0.000056
139; 5.974273; 0.000179; 0.013389; 3.343690; 2.204612; 0.000901; 0.411460; 16.738438; 0.000041
140; 5.999709; 0.000197; 0.013217; 3.345937; 2.185552; 0.000932; 0.453821; 16.667476; 0.000053
141; 6.078059; 0.000180; 0.013152; 3.307394; 2.292527; 0.000962; 0.463790; 16.452621; 0.000053
142; 6.087891; 0.000252; 0.012972; 3.425822; 2.186351; 0.000909; 0.461528; 16.426049; 0.000057
143; 6.087969; 0.000186; 0.013500; 3.442376; 2.241117; 0.000932; 0.389812; 16.425839; 0.000045
144; 6.147975; 0.000194; 0.013185; 3.481375; 2.252321; 0.000855; 0.400009; 16.265518; 0.000037
145; 6.213008; 0.000197; 0.013380; 3.455396; 2.328631; 0.000874; 0.414480; 16.095263; 0.000050
146; 6.191655; 0.000191; 0.013638; 3.499455; 2.260352; 0.000959; 0.417011; 16.150771; 0.000050
147; 6.251549; 0.000176; 0.013725; 3.521597; 2.268854; 0.000891; 0.446254; 15.996036; 0.000052
148; 6.255578; 0.000175; 0.012568; 3.568128; 2.237679; 0.000930; 0.436052; 15.985734; 0.000047
149; 6.283846; 0.000195; 0.013452; 3.610447; 2.243828; 0.000874; 0.415002; 15.913821; 0.000048
150; 6.380201; 0.000212; 0.013236; 3.634116; 2.296672; 0.000949; 0.434964; 15.673488; 0.000051
